"id","name","created_at","created_by","updated_at","updated_by"
"b373164b-be57-4be2-8dce-6472392b70a4","Carpentry","2025-07-30 02:40:05.625085+00","00000000-0000-0000-0000-000000000000","2025-07-30 02:40:05.625085+00","00000000-0000-0000-0000-000000000000"
"40a48d70-8c9a-4fc8-890b-e5dd145214a0","Mechanical","2025-06-12 08:48:13.09793+00","909d7fee-8a26-4bb7-9ee7-32cd718ae815","2025-06-12 08:48:13.09793+00","00000000-0000-0000-0000-000000000000"
"a2ec0653-821f-4c3c-9b1f-c06cc7f14619","Steel","2025-06-08 10:05:16.344401+00","08d58b37-8f2e-4aed-acf9-8f4332d21478","2025-06-08 10:05:16.344401+00","00000000-0000-0000-0000-000000000000"
"99d2f3c7-98ce-43d4-97ed-c5259d669174","Piping","2025-06-16 03:33:37.701435+00","6da006a8-c1f6-4709-8f9c-9c226478bbac","2025-06-16 03:33:37.701435+00","00000000-0000-0000-0000-000000000000"
"eaaf341f-0520-495e-b07a-075e03ac96ce","Support Service","2025-06-16 03:35:51.849966+00","5224a8d1-7de9-41f7-836c-a8270ec456c8","2025-06-16 03:35:51.849966+00","00000000-0000-0000-0000-000000000000"
"ff22b05c-bf62-4781-b29c-37d644728f76","Electrical","2025-06-16 03:34:04.6393+00","04ddec82-fd90-490b-917c-fc9643b5887f","2025-06-16 03:34:04.6393+00","00000000-0000-0000-0000-000000000000"
"558315b1-0024-4438-81cf-63fa635ce9af","Shipwright (Docking)","2025-06-16 03:34:36.862431+00","0dc95b45-253a-45f7-b969-07c86fa96b7d","2025-06-16 03:34:36.862431+00","00000000-0000-0000-0000-000000000000"
"874238b1-2689-4267-935b-29a8bc8f6499","Shipwright (Rigging / Staging)","2025-06-16 03:34:52.11327+00","596e8882-5fb9-4b43-a2fb-5cd272f87ec1","2025-06-16 03:34:52.11327+00","00000000-0000-0000-0000-000000000000"
"82211235-dbf2-49b9-a2d6-8f2f00bd44b2","Shipwright (Blasting / Painting)","2025-06-16 03:35:14.135233+00","ebc12574-ea14-4b24-b953-ed45b449b979","2025-06-16 03:35:14.135233+00","00000000-0000-0000-0000-000000000000"
